features,number,accuracy
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32)",55,0.6096156102976066
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72, 77, 27, 83, 87, 60, 70, 78, 7)",90,0.6096083065365475
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14)",18,0.6095276989056568
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56)",42,0.6094147903145606
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48)",66,0.6094135954316747
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72, 77, 27, 83, 87, 60, 70, 78)",89,0.6093836512371993
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72, 77, 27, 83, 87, 60, 70, 78, 7, 91, 10, 35, 0, 68, 69, 75, 55, 41)",99,0.609378746878926
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52)",53,0.609328852940679
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61)",11,0.609317415857795
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62)",12,0.6092843582783118
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97)",22,0.6092667162221328
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82)",56,0.6091945295436458
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21)",19,0.6091129298236483
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58)",20,0.6091043240159364
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95)",14,0.6091032890219055
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49)",17,0.6087986786261232
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99)",10,0.6081019304344085
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18)",13,0.6077112967243394
"(23, 13, 22, 51)",4,0.6070954663565342
"(23, 13, 22, 51, 17, 20, 93, 92, 98)",9,0.6070559805278701
"(23, 13, 22, 51, 17, 20, 93)",7,0.6064459570200709
"(23, 13, 22, 51, 17, 20)",6,0.6060838939974237
"(23, 13, 22, 51, 17, 20, 93, 92)",8,0.6060147146804499
"(23, 13, 22, 51, 17)",5,0.6059239329832645
"(23, 13)",2,0.6043420825713305
"(23, 13, 22)",3,0.603998585865976
"(23,)",1,0.5915387592303395
